First,,Second,
Temperature (C),Abs,Temperature (C),Abs
39.16999817,0.5488064289,39.31999969,0.5252088904
39.72000122,0.5476074815,39.91999817,0.5247645378
40.27000046,0.5476325154,40.41999817,0.5245816708
40.77000046,0.5480901003,40.97000122,0.5247014165
41.31999969,0.5474094152,41.56999969,0.5247519612
41.77000046,0.5475038886,42.02000046,0.5242747664
42.40000153,0.5479088426,42.61999893,0.5250611305
42.97000122,0.5482811928,43.11999893,0.5248354077
43.52000046,0.547956109,43.66999817,0.5247728825
44.06999969,0.5475796461,44.22000122,0.5252786279
44.56999969,0.5475608706,44.75999832,0.525105238
45.11999893,0.5471940041,45.27000046,0.524433732
45.66999817,0.5473288298,45.81999969,0.524944663
46.16999817,0.5476708412,46.41999817,0.5246685147
46.72000122,0.5475070477,46.91999817,0.5252850056
47.27000046,0.5479513407,47.43999863,0.5248382688
47.79999924,0.5479830503,48.02000046,0.5253007412
48.36999893,0.5476884246,48.56999969,0.5252866149
48.91999817,0.5484367013,49.11999893,0.5250373483
49.41999817,0.5477984548,49.61999893,0.5256024003
50.06999969,0.5485434532,50.16999817,0.5254288912
50.52000046,0.5484805703,50.66999817,0.5252969861
51.06999969,0.5485624075,51.27000046,0.5262855291
51.61999893,0.5494167805,51.77000046,0.5262699723
52.16999817,0.5495951176,52.36999893,0.5264256597
52.72000122,0.5487008691,52.86999893,0.5261622071
53.27000046,0.5497592092,53.41999817,0.526014924
53.77000046,0.5502583981,53.91999817,0.5269188881
54.36999893,0.5497030616,54.52000046,0.5268290639
54.91999817,0.5499409437,55.02000046,0.5272487402
55.47000122,0.5501897335,55.61999893,0.5271058083
55.97000122,0.5505276322,56.16999817,0.5275459886
56.47000122,0.5501092076,56.66999817,0.5271033049
56.91999817,0.5502610207,57.22000122,0.5271872282
57.56999969,0.5508488417,57.77000046,0.5276200175
58.11999893,0.5507645011,58.27000046,0.5277084112
58.61999893,0.5509687066,58.86999893,0.5282623768
59.16999817,0.5507745743,59.36999893,0.5281192064
59.77000046,0.5514455438,59.91999817,0.5285249949
60.27000046,0.551151216,60.41999817,0.5286383629
60.81999969,0.5518159866,60.97999954,0.5287471414
61.34000015,0.5510835648,61.52000046,0.5286362767
61.86999893,0.5518099666,62.06999969,0.5288812518
62.41999817,0.5518158674,62.56999969,0.5293815732
62.97000122,0.5524573326,63.16999817,0.5296063423
63.52000046,0.5529921651,63.66999817,0.5298937559
64.06999969,0.5530416965,64.22000122,0.5296442509
64.62000275,0.5533986688,64.81999969,0.5300487876
65.12000275,0.5528351665,65.31999969,0.5302600861
65.66999817,0.5528217554,65.87000275,0.5308077931
66.22000122,0.5522360802,66.40000153,0.5302262902
66.76000214,0.5532886386,66.91999817,0.5306738019
67.31999969,0.5533299446,67.47000122,0.5315591097
67.87000275,0.5535730124,68.06999969,0.5311603546
68.41999817,0.5533581972,68.56999969,0.5306574702
68.97000122,0.5532820821,69.09999847,0.531493187
69.48000336,0.552477479,69.66999817,0.5306950808
70.01999664,0.5533491373,70.22000122,0.531468749
70.56999969,0.5538471937,70.72000122,0.5316384435
71.12000275,0.5543065071,71.26999664,0.5319291353
71.66999817,0.5535802841,71.81999969,0.5315720439
72.16999817,0.5532688498,72.31999969,0.531486392
72.76999664,0.5550650358,72.87000275,0.5323209763
73.31999969,0.554533422,73.41999817,0.5325977802
73.81999969,0.554820478,73.97000122,0.5319309235
74.37000275,0.5549128652,74.51999664,0.5328487754
74.91999817,0.5550785065,75.01999664,0.5329203606
75.37000275,0.5554866195,75.62000275,0.5330584049
75.97000122,0.5553564429,76.12999725,0.5326846242
76.51999664,0.555467546,76.66999817,0.5333278179
77.01999664,0.5552344322,77.26999664,0.5334968567
77.56999969,0.5557107925,77.72000122,0.5331231952
78.06999969,0.5554155707,78.26999664,0.5330379605
78.62000275,0.5564807057,78.81999969,0.5331684351
79.26999664,0.5569145679,79.41999817,0.5346140862
79.76999664,0.5564941764,79.97000122,0.5338975787
80.26999664,0.5569729209,80.47000122,0.5341942906
80.87000275,0.5571846962,80.97000122,0.5340579748
81.37000275,0.5571787953,81.54000092,0.5341717601
81.90000153,0.5577502251,82.06999969,0.534288764
82.47000122,0.558419466,82.66999817,0.5344529748
83.01999664,0.5579429865,83.22000122,0.5349807143
83.56999969,0.5587470531,83.76999664,0.5353831053
84.12000275,0.5588088036,84.26000214,0.535828352
84.62000275,0.559438169,84.76999664,0.5358253717
85.16999817,0.559171021,85.37000275,0.5354601741
85.72000122,0.5597675443,85.91999817,0.5361514688
86.23999786,0.5605069995,86.41999817,0.5363852978
86.81999969,0.5591951013,86.97000122,0.5356085896
87.37000275,0.559994936,87.56999969,0.5360049009
87.87000275,0.5604208708,88.06999969,0.5364767909
88.37000275,0.560403347,88.56999969,0.5371136665
88.94999695,0.5613093376,89.16999817,0.5365505219
89.51999664,0.5603033304,89.66999817,0.5363839269
90.06999969,0.5611509085,90.16999817,0.5375967026
,,,
,,,
… additional metadata,,,
