Sample1,,Sample2,
Temperature (?C),Abs,Temperature (?C),Abs
47.97000122,0.562638402,48.02000046,0.6433882713
47.47000122,0.5599057674,47.47000122,0.6409522891
46.97999954,0.5566960573,46.97000122,0.6383829713
46.47000122,0.554099977,46.52000046,0.6351594925
45.97999954,0.5521758795,45.97000122,0.6329866648
45.47999954,0.5498890877,45.52000046,0.6314308643
44.97000122,0.5477508903,45.02000046,0.6289304495
44.47000122,0.5459221601,44.49000168,0.6271657348
44.02000046,0.5443474054,44.02000046,0.6251821518
43.47000122,0.5427642465,43.47000122,0.6239832044
42.97000122,0.5408912897,43.02000046,0.6223423481
42.47999954,0.5397332907,42.47000122,0.6206976175
41.97000122,0.5381879807,42.02000046,0.6194443107
41.52000046,0.5374155641,41.52000046,0.618422091
40.97000122,0.5359392762,40.97000122,0.6172072887
40.47000122,0.5350255966,40.52000046,0.6160064936
39.97000122,0.5339590311,39.97000122,0.6151623726
39.47000122,0.5332175493,39.52000046,0.6145343184
38.97000122,0.5323911905,38.97000122,0.6138334274
38.47000122,0.5313862562,38.52000046,0.6126039624
37.97000122,0.5303561091,38.02000046,0.6118423939
37.52000046,0.529473424,37.52000046,0.6105383635
36.97000122,0.529188633,36.97000122,0.6102054119
36.47000122,0.5282996893,36.52000046,0.6091359854
36.02000046,0.5281688571,36.02000046,0.6088790298
35.52000046,0.5271961689,35.52000046,0.6083798409
34.97000122,0.5263745189,35.02000046,0.6077026129
34.52000046,0.5258621573,34.47000122,0.6067650318
33.97000122,0.5255534053,34.02000046,0.6062366366
33.47000122,0.5251996517,33.47000122,0.605678916
32.97000122,0.5243520737,33.02000046,0.6049190164
32.52000046,0.5237601995,32.52000046,0.6044387817
31.96999931,0.5232380629,32.02000046,0.6037871838
31.46999931,0.522328198,31.46999931,0.6031348705
30.96999931,0.5223681927,30.96999931,0.6024378538
30.46999931,0.5215398073,30.51000023,0.6022512913
30.02000046,0.5213662982,30.02000046,0.6016462445
29.46999931,0.5209890008,29.52000046,0.6014249325
28.96999931,0.5206484199,28.96999931,0.6010184288
28.52000046,0.5204175115,28.5,0.6001849174
28.02000046,0.5200289488,28.02000046,0.5997143984
27.46999931,0.5194607377,27.52000046,0.5991879106
27.01000023,0.5192025304,27.02000046,0.599342227
26.46999931,0.5187153816,26.52000046,0.5987122655
25.96999931,0.5179549456,26.02000046,0.5973956585
25.52000046,0.5180177689,25.52000046,0.5975359082
25.02000046,0.5174143314,25.02000046,0.5973154306
24.46999931,0.5172116756,24.52000046,0.5970205665
24,0.5170422196,24.02000046,0.5964325666
23.52000046,0.5160340667,23.52000046,0.5958067775
23.02000046,0.5153890848,23.02000046,0.5953564048
22.46999931,0.5154871345,22.46999931,0.595084846
22.02000046,0.5151070952,22.02000046,0.5943523049
21.52000046,0.5154239535,21.52000046,0.594543457
21.02000046,0.5146656632,21.02000046,0.5940272808
20.52000046,0.5143322349,20.52000046,0.593277812
20.02000046,0.5139614344,20.02000046,0.5927283764
19.52000046,0.5136486292,19.52000046,0.5924489498
19.02000046,0.5133334398,19.02000046,0.5919671655
18.46999931,0.5133432746,18.52000046,0.5916971564
18.02000046,0.5128785968,18.02000046,0.5915147066
17.52000046,0.5127246976,17.52000046,0.5911144018
16.96999931,0.5125235915,16.96999931,0.5904340744
